symbol,usage_number,name,business,classification,confidence,reasoning
TLD.E,0,TEL NT LTD. EQUITY DIVIDEND,INVESTMENT COMPANY,FUND_PRODUCT,high,paired equity-dividend class
TCL,1,TELECLONE INC. CL 'T',INVESTMENT COMPANY,UNKNOWN,low,couldn't confirm identity -- flag for manual research
TFS,1,THIRTY-FIVE SPLIT CORP. CL 'A' CAPITAL SHARES,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
TF,0,TIMBERCREEK FINANCIAL CORP.,INVESTMENT COMPANY,FUND_PRODUCT,high,user decision: MIC group excluded uniformly (see AI)
MTG,1,TIMBERCREEK SR MORTGAGE INVESTMNT CORPORATION,INVESTMENT COMPANY,FUND_PRODUCT,high,user decision: MIC group excluded uniformly (see AI)
TPZ,0,TOPAZ ENERGY CORP.,INVESTMENT COMPANY,REAL_COMPANY,high,"Topaz Energy is a real, currently TSX-listed energy royalty operating company -- clear business-classification miss"
TIP,0,TORONTO 35 INDEX PARTICIPATION FUND UNITS,INVESTMENT COMPANY,FUND_PRODUCT,high,"literal FUND in name -- this was Canada's original ETF-precursor product (TIPs, predecessor to iUnits/iShares)"
TZZ,0,TREZ CAPITAL MORTGAGE INVESTMENT CORP. CL 'A',INVESTMENT COMPANY,FUND_PRODUCT,high,user decision: MIC group excluded uniformly (see AI)
TCP,0,TRIDENT PERFORMANCE CORP. CL 'A',INVESTMENT COMPANY,FUND_PRODUCT,medium,Trident is a Canadian multi-strategy closed-end fund sponsor; PERFORMANCE CORP vehicle matches its fund family naming
TCZ,0,TRIDENT PERFORMANCE CORP. II CL A,INVESTMENT COMPANY,FUND_PRODUCT,medium,same vehicle family as TCP
TMN,1,TRIMIN CAPITAL CORP.,INVESTMENT COMPANY,UNKNOWN,low,couldn't confirm identity -- flag for manual research
TRM.A,0,TRIMIN ENTERPRISES INC. CL 'A',INVESTMENT COMPANY,UNKNOWN,low,couldn't confirm identity -- flag for manual research
TRT,1,TRINORTH CAPITAL INC.,INVESTMENT COMPANY,UNKNOWN,low,couldn't confirm identity -- flag for manual research
US,0,U.S. DIVIDEND GROWERS INCOME CORP. EQUITY,INVESTMENT COMPANY,FUND_PRODUCT,high,INCOME CORP EQUITY share-class pattern matches split-corp/structured-income naming family
UNC,0,UNITED CORPORATIONS LTD.,INVESTMENT COMPANY,FUND_PRODUCT,medium,United Corporations is one of Canada's oldest closed-end investment funds (dating to 1930s) -- a genuine pooled vehicle despite the plain CORPORATIONS LTD name
UML,0,URANIUM LIMITED ORDINARY,INVESTMENT COMPANY,UNKNOWN,low,couldn't confirm identity -- flag for manual research
URC,1,URANIUM ROYALTY CORP. J,INVESTMENT COMPANY,REAL_COMPANY,medium,"a uranium royalty/streaming operating company, same class as Franco-Nevada, not a pooled fund"
URB,1,URBANA CORPORATION,INVESTMENT COMPANY,FUND_PRODUCT,medium,"Urbana Corporation is a real, currently TSX-listed closed-end investment fund (holds a concentrated portfolio incl. exchange stakes) -- a genuine pooled vehicle despite the plain CORPORATION name"
URB.A,0,URBANA CORPORATION CLASS 'A' NV,INVESTMENT COMPANY,FUND_PRODUCT,medium,same vehicle as URB
URF,0,USA REIT FUND LLC,INVESTMENT COMPANY,FUND_PRODUCT,high,"literal FUND in name, and REIT-fund per mandate anyway"
UTC.A,0,UTILITY CORP. CL 'A',INVESTMENT COMPANY,UNKNOWN,low,couldn't confirm identity -- flag for manual research
UTC.C,0,UTILITY CORP. CL 'C',INVESTMENT COMPANY,UNKNOWN,low,same as UTC.A -- flag for manual research
VAL,0,VALUE INVESTMENT CORP.,INVESTMENT COMPANY,UNKNOWN,low,name suggests a pooled investment vehicle but couldn't confirm with confidence -- flag for manual research
VOXR,0,VOX ROYALTY CORP. J,INVESTMENT COMPANY,REAL_COMPANY,medium,"a currently-listed mining royalty operating company, same class as Franco-Nevada, not a pooled fund"
WCN,0,"WASTE CONNECTIONS, INC.",INVESTMENT COMPANY,REAL_COMPANY,high,"Waste Connections is a major, real, currently NYSE/TSX-listed waste management operating company -- clear business-classification miss"
WTE,1,WESTSHORE TERMINALS INVESTMENT CORPORATION,INVESTMENT COMPANY,REAL_COMPANY,medium,"Westshore Terminals is a real, currently TSX-listed coal export terminal operating company (structured as an income-fund-turned-corporation, INVESTMENT CORPORATION is the entity's actual legal name, not a fund product) -- an operating business"
WCM.A,1,WILMINGTON CAPITAL MANAGEMENT INC. CL 'A' NV,INVESTMENT COMPANY,UNKNOWN,low,couldn't confirm identity with confidence -- flag for manual research
WCM.B,0,WILMINGTON CAPITAL MANAGEMENT INC. CL 'B',INVESTMENT COMPANY,UNKNOWN,low,same as WCM.A -- flag for manual research
AGF.B,1,AGF MANAGEMENT LTD. CL 'B' NV,MUTUAL FUNDS,REAL_COMPANY,high,"AGF Management is a real, large, currently TSX-listed independent asset management operating company (manages mutual funds, is not one) -- clear business-classification miss"
PRM,0,BIG PHARMA SPLIT CORP. CL 'A',MUTUAL FUNDS,FUND_PRODUCT,high,SPLIT in name
BPF,0,BPI FINANCIAL CORPORATION,MUTUAL FUNDS,REAL_COMPANY,medium,"BPI Financial was a real Canadian mutual fund management company (operating business, later acquired into CI Financial) -- manages funds, is not one"
BK,0,CANADIAN BANC CORP. CL 'A',MUTUAL FUNDS,FUND_PRODUCT,high,"bank-focused split-share corp -- part of the same 5BANC/ALLBANC/BROMPTON SPLIT BANC family found under INVESTMENT COMPANY, just filed under MUTUAL FUNDS here"
CGQ,1,CAPITAL GAINS INCOME STREAMS CORP CAP YIELD,MUTUAL FUNDS,FUND_PRODUCT,high,"CAP YIELD share-class tag, INCOME STREAMS CORP structured-product naming"
CGQ.E,0,CAPITAL GAINS INCOME STREAMS CORP EQUITY DIV,MUTUAL FUNDS,FUND_PRODUCT,high,paired equity-dividend class
CIX,2,CI FINANCIAL CORP.,MUTUAL FUNDS,REAL_COMPANY,high,"CI Financial is a real, large, currently TSX-listed independent asset management operating company -- manages mutual funds, is not one"
CTS.UN,0,CRS III DEFERRED PREFERRED TRUST UNITS,MUTUAL FUNDS,FUND_PRODUCT,high,"DEFERRED PREFERRED TRUST UNITS -- structured product, same CRS family as CWO.UN/CRD under INVESTMENT COMPANY"
ENS,2,E SPLIT CORP. CLASS 'A',MUTUAL FUNDS,FUND_PRODUCT,high,SPLIT in name
FIP.UN,0,FIDELITY PARTNERSHIP 1993 UNITS,MUTUAL FUNDS,FUND_PRODUCT,high,"Fidelity limited-partnership fund product, UNITS"
FLP.UN,0,FIDELITY PARTNERSHIP 1994 UNITS,MUTUAL FUNDS,FUND_PRODUCT,high,same Fidelity fund family
FYP.UN,0,FIDELITY PARTNERSHIP 1995 UNITS,MUTUAL FUNDS,FUND_PRODUCT,high,same Fidelity fund family
FZP.UN,0,FIDELITY PARTNERSHIP 1996 UNITS,MUTUAL FUNDS,FUND_PRODUCT,high,same Fidelity fund family
STR,1,FINANCIAL SERVICES INCM STREAMS CORP CAP YLD,MUTUAL FUNDS,FUND_PRODUCT,high,"CAP YLD share-class tag, INCM STREAMS CORP structured-product naming"
STR.E,0,FINANCIAL SERVICES INCM STREAMS CORP EQTY DIV,MUTUAL FUNDS,FUND_PRODUCT,high,"paired equity-dividend class -- draft tag missed this one, but it's the same vehicle family as STR"
LPV.UN,0,GLOBAL STRATEGY MASTER LP UNITS,MUTUAL FUNDS,FUND_PRODUCT,high,LP UNITS fund product
GSP.UN,0,GLOBAL STRATEGY PARTNERSHIP LP III UNITS,MUTUAL FUNDS,FUND_PRODUCT,high,same Global Strategy fund family
LPS.UN,0,GLOBAL STRATEGY PARTNERSHIP LP VI UNITS,MUTUAL FUNDS,FUND_PRODUCT,high,same Global Strategy fund family
GCG,0,GUARDIAN CAPITAL GROUP LTD.,MUTUAL FUNDS,REAL_COMPANY,high,"Guardian Capital Group is a real, large, currently TSX-listed independent asset management operating company -- manages funds, is not one"
GCG.A,1,GUARDIAN CAPITAL GROUP LTD. CL 'A' NV,MUTUAL FUNDS,REAL_COMPANY,high,"same entity as GCG, different share class"
STQ,0,INCOME STREAMS III CORPORATION CAPITAL YIELD,MUTUAL FUNDS,FUND_PRODUCT,high,"CAPITAL YIELD share-class tag, INCOME STREAMS CORPORATION structured-product naming"
STQ.E,0,INCOME STREAMS III CORPORATION EQUITY DIV,MUTUAL FUNDS,FUND_PRODUCT,high,paired equity-dividend class
IVZ,0,INVESCO INC. EXCHANGEABLE,MUTUAL FUNDS,REAL_COMPANY,high,"Invesco is a real, major global asset management operating company -- manages funds, is not one; EXCHANGEABLE denotes a cross-border share mechanic, not a fund wrapper"
MKZ.UN,0,MACKENZIE MASTER LIMITED PARTNERSHIP UNITS,MUTUAL FUNDS,FUND_PRODUCT,high,LIMITED PARTNERSHIP UNITS fund product sponsored by Mackenzie (a fund manager) -- matches the already-confirmed Mackenzie Master LP false positive found earlier in the LP-name-regex check
MVX,0,MAVRIX FUND MANAGEMENT INC. J,MUTUAL FUNDS,REAL_COMPANY,high,"Mavrix Fund Management is a real, currently TSX-listed independent asset management operating company -- manages funds, is not one, despite FUND appearing in its corporate name"
PIC.A,0,PREMIUM INCOME CORPORATION CL 'A',MUTUAL FUNDS,FUND_PRODUCT,high,INCOME CORP share-class pattern matches split-corp/structured-product naming family
TMF,0,TRIMARK FINANCIAL CORPORATION,MUTUAL FUNDS,REAL_COMPANY,high,"Trimark Financial was a real Canadian mutual fund management operating company (later acquired by AMVESCAP) -- manages funds, is not one"
FTU,0,US FINANCIAL 15 SPLIT CORP. CLASS 'A',MUTUAL FUNDS,FUND_PRODUCT,high,SPLIT in name
CNF.UN,0,CANADA INCOME PLUS FUND 1986 TRUST UNITS,TRUST FUND,FUND_PRODUCT,high,literal FUND + TRUST UNITS
CUF.UN,0,CANADA INCOME PLUS FUND 1987 TRUST UNITS,TRUST FUND,FUND_PRODUCT,high,same fund family as CNF.UN
CIB.UN,1,CANADA INCOME PLUS FUND TRUST UNITS,TRUST FUND,FUND_PRODUCT,high,same fund family
CNN.UN,0,CANADA TRUST INCOME INVEST TRUST UNITS,TRUST FUND,FUND_PRODUCT,high,literal TRUST UNITS pooled investment product
DEQ.UN,0,DIRECT ENERGY TRUST UNITS,TRUST FUND,FUND_PRODUCT,high,user decision: royalty-unit/income-trust group excluded uniformly as trust/fund-wrapper-adjacent
DVA.UN,0,DRAYTON VALLEY POWER INCOME FUND TRUST UNITS,TRUST FUND,FUND_PRODUCT,medium,"literal FUND + TRUST UNITS, though note this is a power-generation income trust (operating assets held in a trust wrapper) -- same ambiguity class as DEQ.UN, tagged FUND_PRODUCT here for the explicit FUND naming but worth reviewing alongside DEQ.UN/ENP.* as a group"
ENP.C,0,ENERPLUS RESOURCES CORP. SER 'C' ROYALTY UN,TRUST FUND,FUND_PRODUCT,high,user decision: royalty-unit group excluded uniformly regardless of issuer -- this is a distinct royalty share class from Enerplus's common equity
ENP.Z,0,ENERPLUS RESOURCES CORP. SER 'D' ROYALTY UN,TRUST FUND,FUND_PRODUCT,high,user decision: royalty-unit group excluded uniformly (see ENP.C)
ENP.G,0,ENERPLUS RESOURCES CORP. SER 'G' ROYALTY UN,TRUST FUND,FUND_PRODUCT,high,user decision: royalty-unit group excluded uniformly (see ENP.C)
ENP.B,0,ENERPLUS RESOURCES CORP. SER B ROYALTY UNITS,TRUST FUND,FUND_PRODUCT,high,user decision: royalty-unit group excluded uniformly (see ENP.C)
FPG.UN,0,FIRST PREMIUM OIL & GAS INCOME TRUST UNITS,TRUST FUND,FUND_PRODUCT,high,user decision: royalty-unit/income-trust group excluded uniformly (see DEQ.UN)
GIF.UN,1,GAS MANAGEMENT INCOME FUND TRUST UNITS,TRUST FUND,FUND_PRODUCT,medium,"literal FUND + TRUST UNITS, same ambiguity class as the other energy income trusts in this group"
KMS.UN,0,KMS POWER INCOME FUND TRUST UNITS,TRUST FUND,FUND_PRODUCT,medium,"literal FUND + TRUST UNITS, power-generation income trust, same ambiguity class as DVA.UN"
LUS.UN,0,LUSCAR COAL INCOME FUND TRUST UNITS,TRUST FUND,FUND_PRODUCT,medium,"literal FUND + TRUST UNITS, coal-mining income trust, same ambiguity class"
RTP.UN,0,ROYAL TRUST REAL ESTATE LTD. PARTNERSHIP UN J,TRUST FUND,FUND_PRODUCT,high,user decision: royalty-unit/income-trust group excluded uniformly (see DEQ.UN)
TAY.UN,0,TAYLOR NGL LIMITED PARTNERSHIP UNITS,TRUST FUND,FUND_PRODUCT,high,user decision: royalty-unit/income-trust group excluded uniformly (see DEQ.UN)
VKR.UN,0,VIKING ENERGY ROYALTY TRUST UNITS,TRUST FUND,FUND_PRODUCT,high,user decision: royalty-unit/income-trust group excluded uniformly (see DEQ.UN)
